,address,elementary,middle,high_school,geometry
0,304 Abbey Ct ,Travell ,Benjamin Franklin MS ,Ridgewood High School,POINT (-74.10341551912082 40.992393304706766)
1,305 Abbey Ct ,Travell ,Benjamin Franklin MS ,Ridgewood High School,POINT (-74.10333055790622 40.992560135731566)
2,306 Abbey Ct ,Travell ,Benjamin Franklin MS ,Ridgewood High School,POINT (-74.10340518295006 40.99239165672036)
3,307 Abbey Ct ,Travell ,Benjamin Franklin MS ,Ridgewood High School,POINT (-74.10331939555826 40.992558599880255)
4,308 Abbey Ct ,Travell ,Benjamin Franklin MS ,Ridgewood High School,POINT (-74.10339484677931 40.99239000873395)
5,309 Abbey Ct ,Travell ,Benjamin Franklin MS ,Ridgewood High School,POINT (-74.1033082332103 40.99255706402894)
6,310 Abbey Ct ,Travell ,Benjamin Franklin MS ,Ridgewood High School,POINT (-74.10338451060855 40.99238836074754)
7,311 Abbey Ct ,Travell ,Benjamin Franklin MS ,Ridgewood High School,POINT (-74.10329707086234 40.99255552817762)
8,312 Abbey Ct ,Travell ,Benjamin Franklin MS ,Ridgewood High School,POINT (-74.1033741744378 40.99238671276113)
9,313 Abbey Ct ,Travell ,Benjamin Franklin MS ,Ridgewood High School,POINT (-74.10328590851438 40.9925539923263)
10,314 Abbey Ct ,Travell ,Benjamin Franklin MS ,Ridgewood High School,POINT (-74.10336383826704 40.99238506477472)
11,315 Abbey Ct ,Travell ,Benjamin Franklin MS ,Ridgewood High School,POINT (-74.10327474616642 40.99255245647499)
12,316 Abbey Ct ,Travell ,Benjamin Franklin MS ,Ridgewood High School,POINT (-74.1033535020963 40.992383416788314)
13,317 Abbey Ct ,Travell ,Benjamin Franklin MS ,Ridgewood High School,POINT (-74.10326358381847 40.99255092062367)
14,318 Abbey Ct ,Travell ,Benjamin Franklin MS ,Ridgewood High School,POINT (-74.10334316592554 40.992381768801906)
15,319 Abbey Ct ,Travell ,Benjamin Franklin MS ,Ridgewood High School,POINT (-74.10325242147051 40.99254938477235)
16,320 Abbey Ct ,Travell ,Benjamin Franklin MS ,Ridgewood High School,POINT (-74.10333282975479 40.9923801208155)
17,321 Abbey Ct ,Travell ,Benjamin Franklin MS ,Ridgewood High School,POINT (-74.10324125912256 40.99254784892104)
18,322 Abbey Ct ,Travell ,Benjamin Franklin MS ,Ridgewood High School,POINT (-74.10332249358403 40.99237847282909)
19,323 Abbey Ct ,Travell ,Benjamin Franklin MS ,Ridgewood High School,POINT (-74.1032300967746 40.992546313069724)
20,324 Abbey Ct ,Travell ,Benjamin Franklin MS ,Ridgewood High School,POINT (-74.10331215741328 40.99237682484268)
21,325 Abbey Ct ,Travell ,Benjamin Franklin MS ,Ridgewood High School,POINT (-74.10321893442664 40.992544777218406)
22,326 Abbey Ct ,Travell ,Benjamin Franklin MS ,Ridgewood High School,POINT (-74.10330182124252 40.99237517685627)
23,327 Abbey Ct ,Travell ,Benjamin Franklin MS ,Ridgewood High School,POINT (-74.10320777207868 40.99254324136709)
24,328 Abbey Ct ,Travell ,Benjamin Franklin MS ,Ridgewood High School,POINT (-74.10329148507176 40.99237352886986)
25,329 Abbey Ct ,Travell ,Benjamin Franklin MS ,Ridgewood High School,POINT (-74.10319660973073 40.99254170551578)
26,330 Abbey Ct ,Travell ,Benjamin Franklin MS ,Ridgewood High School,POINT (-74.10328114890102 40.992371880883454)
27,331 Abbey Ct ,Travell ,Benjamin Franklin MS ,Ridgewood High School,POINT (-74.10318544738277 40.99254016966446)
28,332 Abbey Ct ,Travell ,Benjamin Franklin MS ,Ridgewood High School,POINT (-74.10327081273026 40.992370232897045)
29,333 Abbey Ct ,Travell ,Benjamin Franklin MS ,Ridgewood High School,POINT (-74.10317428503481 40.99253863381314)
30,334 Abbey Ct ,Travell ,Benjamin Franklin MS ,Ridgewood High School,POINT (-74.10326047655951 40.992368584910636)
31,335 Abbey Ct ,Travell ,Benjamin Franklin MS ,Ridgewood High School,POINT (-74.10316312268685 40.99253709796183)
32,336 Abbey Ct ,Travell ,Benjamin Franklin MS ,Ridgewood High School,POINT (-74.10325014038875 40.99236693692423)
33,337 Abbey Ct ,Travell ,Benjamin Franklin MS ,Ridgewood High School,POINT (-74.10315196033889 40.99253556211051)
34,338 Abbey Ct ,Travell ,Benjamin Franklin MS ,Ridgewood High School,POINT (-74.103239804218 40.99236528893782)
35,339 Abbey Ct ,Travell ,Benjamin Franklin MS ,Ridgewood High School,POINT (-74.10314079799093 40.99253402625919)
36,340 Abbey Ct ,Travell ,Benjamin Franklin MS ,Ridgewood High School,POINT (-74.10322946804725 40.99236364095141)
37,341 Abbey Ct ,Travell ,Benjamin Franklin MS ,Ridgewood High School,POINT (-74.10312963564299 40.99253249040788)
38,342 Abbey Ct ,Travell ,Benjamin Franklin MS ,Ridgewood High School,POINT (-74.1032191318765 40.992361992965)
39,343 Abbey Ct ,Travell ,Benjamin Franklin MS ,Ridgewood High School,POINT (-74.10311847329503 40.992530954556564)
40,344 Abbey Ct ,Travell ,Benjamin Franklin MS ,Ridgewood High School,POINT (-74.10320879570574 40.99236034497859)
41,345 Abbey Ct ,Travell ,Benjamin Franklin MS ,Ridgewood High School,POINT (-74.10310731094707 40.992529418705246)
42,108 Ackerman Ave ,Orchard ,George Washington MS ,Ridgewood High School,POINT (-74.12799795945946 40.97817748648649)
43,109 Ackerman Ave ,Orchard ,George Washington MS ,Ridgewood High School,POINT (-74.12803745454546 40.97891627272727)
44,110 Ackerman Ave ,Orchard ,George Washington MS ,Ridgewood High School,POINT (-74.12799167567567 40.97815989189189)
45,111 Ackerman Ave ,Orchard ,George Washington MS ,Ridgewood High School,POINT (-74.12801631818182 40.97885709090909)
46,112 Ackerman Ave ,Orchard ,George Washington MS ,Ridgewood High School,POINT (-74.1279853918919 40.978142297297296)
47,113 Ackerman Ave ,Orchard ,George Washington MS ,Ridgewood High School,POINT (-74.12799518181818 40.97879790909091)
48,114 Ackerman Ave ,Orchard ,George Washington MS ,Ridgewood High School,POINT (-74.12797910810811 40.97812470270271)
49,115 Ackerman Ave ,Orchard ,George Washington MS ,Ridgewood High School,POINT (-74.12797404545455 40.97873872727273)
50,116 Ackerman Ave ,Orchard ,George Washington MS ,Ridgewood High School,POINT (-74.12797282432432 40.97810710810811)
51,117 Ackerman Ave ,Orchard ,George Washington MS ,Ridgewood High School,POINT (-74.12795290909091 40.97867954545455)
52,118 Ackerman Ave ,Orchard ,George Washington MS ,Ridgewood High School,POINT (-74.12796654054054 40.97808951351352)
53,119 Ackerman Ave ,Orchard ,George Washington MS ,Ridgewood High School,POINT (-74.12793177272728 40.97862036363636)
54,120 Ackerman Ave ,Orchard ,George Washington MS ,Ridgewood High School,POINT (-74.12796025675675 40.97807191891892)
55,121 Ackerman Ave ,Orchard ,George Washington MS ,Ridgewood High School,POINT (-74.12791063636364 40.97856118181818)
56,122 Ackerman Ave ,Orchard ,George Washington MS ,Ridgewood High School,POINT (-74.12795397297297 40.978054324324326)
57,123 Ackerman Ave ,Orchard ,George Washington MS ,Ridgewood High School,POINT (-74.1278895 40.978502)
58,124 Ackerman Ave ,Orchard ,George Washington MS ,Ridgewood High School,POINT (-74.12794768918918 40.97803672972973)
59,125 Ackerman Ave ,Orchard ,George Washington MS ,Ridgewood High School,POINT (-74.12786836363637 40.97844281818182)
60,126 Ackerman Ave ,Orchard ,George Washington MS ,Ridgewood High School,POINT (-74.12794140540541 40.978019135135135)
61,127 Ackerman Ave ,Orchard ,George Washington MS ,Ridgewood High School,POINT (-74.12784722727272 40.97838363636364)
62,128 Ackerman Ave ,Orchard ,George Washington MS ,Ridgewood High School,POINT (-74.12793512162162 40.978001540540546)
63,129 Ackerman Ave ,Orchard ,George Washington MS ,Ridgewood High School,POINT (-74.1278260909091 40.97832445454545)
64,130 Ackerman Ave ,Orchard ,George Washington MS ,Ridgewood High School,POINT (-74.12792883783784 40.97798394594595)
65,131 Ackerman Ave ,Orchard ,George Washington MS ,Ridgewood High School,POINT (-74.12780495454545 40.97826527272727)
66,132 Ackerman Ave ,Orchard ,George Washington MS ,Ridgewood High School,POINT (-74.12792255405405 40.977966351351355)
67,133 Ackerman Ave ,Orchard ,George Washington MS ,Ridgewood High School,POINT (-74.12778381818183 40.97820609090909)
68,134 Ackerman Ave ,Orchard ,George Washington MS ,Ridgewood High School,POINT (-74.12791627027026 40.97794875675676)
69,135 Ackerman Ave ,Orchard ,George Washington MS ,Ridgewood High School,POINT (-74.12776268181818 40.97814690909091)
70,136 Ackerman Ave ,Orchard ,George Washington MS ,Ridgewood High School,POINT (-74.12790998648649 40.977931162162164)
71,137 Ackerman Ave ,Orchard ,George Washington MS ,Ridgewood High School,POINT (-74.12774154545454 40.97808772727273)
72,138 Ackerman Ave ,Orchard ,George Washington MS ,Ridgewood High School,POINT (-74.1279037027027 40.97791356756757)
73,139 Ackerman Ave ,Orchard ,George Washington MS ,Ridgewood High School,POINT (-74.12772040909091 40.97802854545455)
74,140 Ackerman Ave ,Orchard ,George Washington MS ,Ridgewood High School,POINT (-74.12789741891892 40.97789597297297)
75,141 Ackerman Ave ,Orchard ,George Washington MS ,Ridgewood High School,POINT (-74.12769927272727 40.97796936363636)
76,142 Ackerman Ave ,Orchard ,George Washington MS ,Ridgewood High School,POINT (-74.12789113513513 40.97787837837838)
77,143 Ackerman Ave ,Orchard ,George Washington MS ,Ridgewood High School,POINT (-74.12767813636364 40.97791018181818)
78,144 Ackerman Ave ,Orchard ,George Washington MS ,Ridgewood High School,POINT (-74.12788485135135 40.97786078378379)
79,145 Ackerman Ave ,Orchard ,George Washington MS ,Ridgewood High School,POINT (-74.127657 40.977851)
80,146 Ackerman Ave ,Orchard ,George Washington MS ,Ridgewood High School,POINT (-74.12787856756756 40.977843189189194)
81,147 Ackerman Ave ,Orchard ,George Washington MS ,Ridgewood High School,POINT (-74.127572 40.977612)
82,148 Ackerman Ave ,Orchard ,George Washington MS ,Ridgewood High School,POINT (-74.12787228378379 40.9778255945946)
83,149 Ackerman Ave ,Orchard ,George Washington MS ,Ridgewood High School,POINT (-74.12754911111111 40.97754777777778)
