,address,elementary,middle,high_school
0,"304 Abbey Ct Ridgewood, NJ",Travell ,Benjamin Franklin MS ,Ridgewood High School
1,"305 Abbey Ct Ridgewood, NJ",Travell ,Benjamin Franklin MS ,Ridgewood High School
2,"306 Abbey Ct Ridgewood, NJ",Travell ,Benjamin Franklin MS ,Ridgewood High School
3,"307 Abbey Ct Ridgewood, NJ",Travell ,Benjamin Franklin MS ,Ridgewood High School
4,"308 Abbey Ct Ridgewood, NJ",Travell ,Benjamin Franklin MS ,Ridgewood High School
5,"309 Abbey Ct Ridgewood, NJ",Travell ,Benjamin Franklin MS ,Ridgewood High School
6,"310 Abbey Ct Ridgewood, NJ",Travell ,Benjamin Franklin MS ,Ridgewood High School
7,"311 Abbey Ct Ridgewood, NJ",Travell ,Benjamin Franklin MS ,Ridgewood High School
8,"312 Abbey Ct Ridgewood, NJ",Travell ,Benjamin Franklin MS ,Ridgewood High School
9,"313 Abbey Ct Ridgewood, NJ",Travell ,Benjamin Franklin MS ,Ridgewood High School
10,"314 Abbey Ct Ridgewood, NJ",Travell ,Benjamin Franklin MS ,Ridgewood High School
11,"315 Abbey Ct Ridgewood, NJ",Travell ,Benjamin Franklin MS ,Ridgewood High School
12,"316 Abbey Ct Ridgewood, NJ",Travell ,Benjamin Franklin MS ,Ridgewood High School
13,"317 Abbey Ct Ridgewood, NJ",Travell ,Benjamin Franklin MS ,Ridgewood High School
14,"318 Abbey Ct Ridgewood, NJ",Travell ,Benjamin Franklin MS ,Ridgewood High School
15,"319 Abbey Ct Ridgewood, NJ",Travell ,Benjamin Franklin MS ,Ridgewood High School
16,"320 Abbey Ct Ridgewood, NJ",Travell ,Benjamin Franklin MS ,Ridgewood High School
17,"321 Abbey Ct Ridgewood, NJ",Travell ,Benjamin Franklin MS ,Ridgewood High School
18,"322 Abbey Ct Ridgewood, NJ",Travell ,Benjamin Franklin MS ,Ridgewood High School
19,"323 Abbey Ct Ridgewood, NJ",Travell ,Benjamin Franklin MS ,Ridgewood High School
20,"324 Abbey Ct Ridgewood, NJ",Travell ,Benjamin Franklin MS ,Ridgewood High School
21,"325 Abbey Ct Ridgewood, NJ",Travell ,Benjamin Franklin MS ,Ridgewood High School
22,"326 Abbey Ct Ridgewood, NJ",Travell ,Benjamin Franklin MS ,Ridgewood High School
23,"327 Abbey Ct Ridgewood, NJ",Travell ,Benjamin Franklin MS ,Ridgewood High School
24,"328 Abbey Ct Ridgewood, NJ",Travell ,Benjamin Franklin MS ,Ridgewood High School
25,"329 Abbey Ct Ridgewood, NJ",Travell ,Benjamin Franklin MS ,Ridgewood High School
26,"330 Abbey Ct Ridgewood, NJ",Travell ,Benjamin Franklin MS ,Ridgewood High School
27,"331 Abbey Ct Ridgewood, NJ",Travell ,Benjamin Franklin MS ,Ridgewood High School
28,"332 Abbey Ct Ridgewood, NJ",Travell ,Benjamin Franklin MS ,Ridgewood High School
29,"333 Abbey Ct Ridgewood, NJ",Travell ,Benjamin Franklin MS ,Ridgewood High School
30,"334 Abbey Ct Ridgewood, NJ",Travell ,Benjamin Franklin MS ,Ridgewood High School
31,"335 Abbey Ct Ridgewood, NJ",Travell ,Benjamin Franklin MS ,Ridgewood High School
32,"336 Abbey Ct Ridgewood, NJ",Travell ,Benjamin Franklin MS ,Ridgewood High School
33,"337 Abbey Ct Ridgewood, NJ",Travell ,Benjamin Franklin MS ,Ridgewood High School
34,"338 Abbey Ct Ridgewood, NJ",Travell ,Benjamin Franklin MS ,Ridgewood High School
35,"339 Abbey Ct Ridgewood, NJ",Travell ,Benjamin Franklin MS ,Ridgewood High School
36,"340 Abbey Ct Ridgewood, NJ",Travell ,Benjamin Franklin MS ,Ridgewood High School
37,"341 Abbey Ct Ridgewood, NJ",Travell ,Benjamin Franklin MS ,Ridgewood High School
38,"342 Abbey Ct Ridgewood, NJ",Travell ,Benjamin Franklin MS ,Ridgewood High School
39,"343 Abbey Ct Ridgewood, NJ",Travell ,Benjamin Franklin MS ,Ridgewood High School
40,"344 Abbey Ct Ridgewood, NJ",Travell ,Benjamin Franklin MS ,Ridgewood High School
41,"345 Abbey Ct Ridgewood, NJ",Travell ,Benjamin Franklin MS ,Ridgewood High School
42,"108 Ackerman Ave Ridgewood, NJ",Orchard ,George Washington MS ,Ridgewood High School
43,"109 Ackerman Ave Ridgewood, NJ",Orchard ,George Washington MS ,Ridgewood High School
44,"110 Ackerman Ave Ridgewood, NJ",Orchard ,George Washington MS ,Ridgewood High School
45,"111 Ackerman Ave Ridgewood, NJ",Orchard ,George Washington MS ,Ridgewood High School
46,"112 Ackerman Ave Ridgewood, NJ",Orchard ,George Washington MS ,Ridgewood High School
47,"113 Ackerman Ave Ridgewood, NJ",Orchard ,George Washington MS ,Ridgewood High School
48,"114 Ackerman Ave Ridgewood, NJ",Orchard ,George Washington MS ,Ridgewood High School
49,"115 Ackerman Ave Ridgewood, NJ",Orchard ,George Washington MS ,Ridgewood High School
50,"116 Ackerman Ave Ridgewood, NJ",Orchard ,George Washington MS ,Ridgewood High School
51,"117 Ackerman Ave Ridgewood, NJ",Orchard ,George Washington MS ,Ridgewood High School
52,"118 Ackerman Ave Ridgewood, NJ",Orchard ,George Washington MS ,Ridgewood High School
53,"119 Ackerman Ave Ridgewood, NJ",Orchard ,George Washington MS ,Ridgewood High School
54,"120 Ackerman Ave Ridgewood, NJ",Orchard ,George Washington MS ,Ridgewood High School
55,"121 Ackerman Ave Ridgewood, NJ",Orchard ,George Washington MS ,Ridgewood High School
56,"122 Ackerman Ave Ridgewood, NJ",Orchard ,George Washington MS ,Ridgewood High School
57,"123 Ackerman Ave Ridgewood, NJ",Orchard ,George Washington MS ,Ridgewood High School
58,"124 Ackerman Ave Ridgewood, NJ",Orchard ,George Washington MS ,Ridgewood High School
59,"125 Ackerman Ave Ridgewood, NJ",Orchard ,George Washington MS ,Ridgewood High School
60,"126 Ackerman Ave Ridgewood, NJ",Orchard ,George Washington MS ,Ridgewood High School
61,"127 Ackerman Ave Ridgewood, NJ",Orchard ,George Washington MS ,Ridgewood High School
62,"128 Ackerman Ave Ridgewood, NJ",Orchard ,George Washington MS ,Ridgewood High School
63,"129 Ackerman Ave Ridgewood, NJ",Orchard ,George Washington MS ,Ridgewood High School
64,"130 Ackerman Ave Ridgewood, NJ",Orchard ,George Washington MS ,Ridgewood High School
65,"131 Ackerman Ave Ridgewood, NJ",Orchard ,George Washington MS ,Ridgewood High School
66,"132 Ackerman Ave Ridgewood, NJ",Orchard ,George Washington MS ,Ridgewood High School
67,"133 Ackerman Ave Ridgewood, NJ",Orchard ,George Washington MS ,Ridgewood High School
68,"134 Ackerman Ave Ridgewood, NJ",Orchard ,George Washington MS ,Ridgewood High School
69,"135 Ackerman Ave Ridgewood, NJ",Orchard ,George Washington MS ,Ridgewood High School
